city_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Vestmannaeyjar,IS,2022-02-18 01:19:44,63.4427,-20.2734,30.51,85,100,6.15
278,Longyearbyen,SJ,2022-02-18 01:19:44,78.2186,15.6401,6.64,78,0,16.11
279,Abu Samrah,SY,2022-02-18 01:19:45,35.3029,37.1841,47.17,74,15,4.16
280,Zyryanka,RU,2022-02-18 01:19:45,65.75,150.85,-26.01,97,100,4.88
281,Jamui,IN,2022-02-18 01:19:46,24.9167,86.2167,56.66,54,0,1.97
282,Zhigansk,RU,2022-02-18 01:19:46,66.7697,123.3711,-25.17,100,100,0.54
283,San Policarpo,PH,2022-02-18 01:19:47,12.1791,125.5072,81.07,72,100,12.12
284,Aswan,EG,2022-02-18 01:19:47,24.0934,32.907,59.49,30,100,7.63
285,Talara,PE,2022-02-18 01:19:47,-4.5772,-81.2719,72.0,83,100,9.35
286,Kanniyakumari,IN,2022-02-18 01:19:48,8.0833,77.5667,75.83,73,5,16.62
287,Samana,DO,2022-02-18 01:19:48,19.2056,-69.3369,74.44,80,14,9.19
288,Saint-Junien,FR,2022-02-18 01:19:48,45.8833,0.9,52.38,96,100,6.24
289,Half Moon Bay,US,2022-02-18 01:18:05,37.4636,-122.4286,67.57,52,0,13.8
